127.0.0.1 - - [26/May/2020:17:17:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/May/2020:17:17:06 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [26/May/2020:17:17:29 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [26/May/2020:17:17:30 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [26/May/2020:17:17:46 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3235
0:0:0:0:0:0:0:1 - - [26/May/2020:17:18:07 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [26/May/2020:17:18:23 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3234
0:0:0:0:0:0:0:1 - - [26/May/2020:17:18:44 +0530] "POST /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [26/May/2020:17:22:04 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3233
0:0:0:0:0:0:0:1 - - [26/May/2020:17:23:05 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [26/May/2020:17:23:41 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3258
0:0:0:0:0:0:0:1 - - [26/May/2020:17:23:42 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3258
0:0:0:0:0:0:0:1 - - [26/May/2020:17:24:11 +0530] "GET /sample-jsf/faces/mansi.xhtml HTTP/1.1" 200 3250
