127.0.0.1 - - [22/Jun/2020:10:48:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:48:04 +0530] "GET /Chapter-8/faces/index.xhtml HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:48:04 +0530] "GET /Chapter-8/faces/javax.faces.resource/jsf.js;jsessionid=8A2BBAAB65C7364C4C5CA9DD3C048B50?ln=javax.faces HTTP/1.1" 200 41707
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:48:21 +0530] "POST /Chapter-8/faces/index.xhtml;jsessionid=8A2BBAAB65C7364C4C5CA9DD3C048B50 HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:48:21 +0530] "POST /Chapter-8/faces/index.xhtml;jsessionid=8A2BBAAB65C7364C4C5CA9DD3C048B50 HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:48:21 +0530] "POST /Chapter-8/faces/index.xhtml;jsessionid=8A2BBAAB65C7364C4C5CA9DD3C048B50 HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:48:21 +0530] "POST /Chapter-8/faces/index.xhtml;jsessionid=8A2BBAAB65C7364C4C5CA9DD3C048B50 HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:48:22 +0530] "POST /Chapter-8/faces/index.xhtml;jsessionid=8A2BBAAB65C7364C4C5CA9DD3C048B50 HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:48:23 +0530] "POST /Chapter-8/faces/index.xhtml;jsessionid=8A2BBAAB65C7364C4C5CA9DD3C048B50 HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:48:23 +0530] "POST /Chapter-8/faces/index.xhtml;jsessionid=8A2BBAAB65C7364C4C5CA9DD3C048B50 HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:48:51 +0530] "POST /Chapter-8/faces/index.xhtml;jsessionid=8A2BBAAB65C7364C4C5CA9DD3C048B50 HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:49:37 +0530] "GET /Chapter-8/faces/index.xhtml HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:49:37 +0530] "GET /Chapter-8/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:49:43 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:49:43 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:49:43 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:49:43 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:49:44 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:49:45 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:49:45 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [22/Jun/2020:10:49:56 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:07:19 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:07:19 +0530] "GET /Chapter-8/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:07:58 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:07:58 +0530] "GET /Chapter-8/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:08:33 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:08:33 +0530] "GET /Chapter-8/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:11:26 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:11:42 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:17:59 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 500 3686
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:18:55 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:19:30 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 1936
0:0:0:0:0:0:0:1 - - [22/Jun/2020:11:19:36 +0530] "POST /Chapter-8/faces/index.xhtml HTTP/1.1" 200 1936
